header,class,mechanism,group,database
Fos|fosA_13_EU487198|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA,megares
ACou|NC_003098.1.934298|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Flq|QnrB68_1_KC580657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|OKP-B-3|AM051152|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Flq|AP010904.1|gene4|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
gi|157310266|emb|AM778091.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
266|AY768531.1|AY768531|Multi-drug_resistance|Multi-drug_efflux_pumps|MACA,Multi-drug resistance,Multi-drug efflux pumps,MACA,megares
Bla|OXY3-1|AF491278|184-1050|867|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
AGly|AadA23|AJ809407|119-898|781|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Tet|tetL_9_AY081910|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,megares
Bla|KF986260.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-70|DQ013287|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|40786814|gb|AY500137.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1245|LC055762.1|LC055762|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
Bla|SHV-1_15_FJ668804|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|ACT-15|JX440356|755-1900|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
738|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,megares
1639|AB985401.1|AB985401|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA,megares
AGly|Sat4A|X92945|38870-39412|543|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,megares
gi|338815130|gb|HQ845196.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
AGly|AF162771.1|gene2|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
CARD|pvgb|NC_002952|590830-594382|ARO:3003285|Staphylococcus|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
301|FJ349556.1|FJ349556|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA,megares
Bla|OKP-A-14|FJ534512|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|CMY-2|AM779746|1-1149|1149|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
518|AJ007350.1|AJ007350|betalactams|Class_A_betalactamases|ACI,betalactams,Class A betalactamases,ACI,megares
gi|334145775|gb|JF795538.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|81365639|gb|DQ105529.2|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|CTX-M-83|FJ214366|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|SHV-132|GU981741|794-1654|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|SHV-2a|X98102|72-934|863|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Tet|TetA-P|L20800|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,megares
CARD|phgb|KJ020574|244-1120|ARO:3002006|CTX-M-148|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|VIM-26|FR748153|260-1060|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Bla|U14748.1|gene2|betalactams|Class_A_betalactamases|AER,betalactams,Class A betalactamases,AER,megares
Bla|SHV-67|DQ174307|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|pvgb|AE000516|4238826-4242123|ARO:3003465|Mycobacterium|Rifampin|Rifampin-resistant_embB|embB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant embB,embB,megares
1647|AB061794.1|AB061794|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX,megares
Flq|NC_011035.1.6447337|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
CARD|pvgb|BX248333|4182808-4186105|ARO:3003325|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBB,megares
1871|KC292503.1|KC292503|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
144|JF769133.1|JF769133|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,megares
Bac|AP009048.1|gene3103|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,megares
551|EU503121.1|EU503121|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|OXA-353_1_KF297582|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|M55426|465-1326|ARO:3002542|AAC3-VIIIa|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,megares
gi|728678245|gb|KP081315.1|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI,megares
Tet|tet31_1_GQ283908|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET31,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET31,megares
Bla|TEM-96|AY092401|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Phe|BX664015.1|gene104|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
CARD|phgb|NC_010410|3660736-3661636|ARO:3002370|VEB-1|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB,megares
1014|AF001493.1|AF001493|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR,megares
Bla|Mor-2|AY235804|110-1249|1140|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
Bla|TEM-88|AY027590|113-973|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
MLS|ermC_10_Y09002|MLS|23S_rRNA_methyltransferases|ERMC,MLS,23S rRNA methyltransferases,ERMC,megares
CARD|pvgb|NC_020418|545199-547614|ARO:3003306|Morganella|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,megares
Phe|CatA7|M64281|208-855|648|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
gi|194022466|gb|EU815939.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Elf|CP004022.1|gene3277|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
260|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,megares
Bla|SHV-30|AY661885|49-909|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|CP000034.1|gene2423|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Bla|TEM-131|AY436361|132-992|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Flq|NC_010611.6237080|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
MLS|ermB_2_K00551|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB,megares
Sul|sul1_18_AY260546|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Bla|OXA-58|AY665723|3301-4143|843|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|pvgb|NC_007779|986315-987404|ARO:3003390|Escherichia|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,Multi-drug resistance,MDR mutant porin proteins,OMPF,megares
Bla|SHV-1_12_AY787643|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|125658581|gb|EF373969.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Mdr|CP003248.2|gene3393|Multi-drug_resistance|MDR_regulator|MTRA,Multi-drug resistance,MDR regulator,MTRA,megares
Gly|VanH-B|AF192329|27871-28842|972|Glycopeptides|VanB-type_resistance_protein|VANHB,Glycopeptides,VanB-type resistance protein,VANHB,megares
1903|unknown_id|unknown_name|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|KF443075|0-645|ARO:3002785|QnrB73|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
1755|JN676230.2|JN676230|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Bla|FONA-2|AJ251240|1054-1941|888|betalactams|Class_A_betalactamases|FONA,betalactams,Class A betalactamases,FONA,megares
gi|401871154|gb|JX121115.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CTX-M-123|JN790864|239-1114|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|OXA_356_1_KF297585|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|AadA4|AY138986|1-798|789|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
gi|74422852|gb|DQ174305.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|HERA-3|AF398335|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA,megares
AGly|AadA13|AY713504|1-798|798|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|OXA-68|AY750910|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|B-10|AY348325|1-747|747|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB,megares
Flq|QnrB34|JN173056|36-683|648|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
AGly|AJ809407.1|gene1|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|CMY-65|JN714479|1041-2186|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
MLS|ermF_3_M17808|MLS|23S_rRNA_methyltransferases|ERMF,MLS,23S rRNA methyltransferases,ERMF,megares
gi|717007360|gb|KM998962.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Tmt|DfrA5|X12868|1306-1779|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Bla|OXA-50_3_AY306130|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|218091989|emb|AM922308.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
201|EU523697.1|EU523697|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,megares
Tmt|AJ605332.1|gene1|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
CARD|pvgb|U00096|3163714-3165973|ARO:3003308|Escherichia|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
562|AF064820.3|AF064820|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|208431881|gb|FJ194494.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|7381164|gb|AF135373.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
Bla|CTX-M-15_64_FJ815288|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|IMP-14|AY553332|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
CARD|phgb|NC_002951|1987719-1989456|ARO:3000489|sav1866|Multi-drug_resistance|Multi-drug_efflux_pumps|SAV1866,Multi-drug resistance,Multi-drug efflux pumps,SAV1866,megares
Phe|CatB4|EU935739|59054-59602|549|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB,megares
MLS|ermB_7_AF368302|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB,megares
Bla|TEM-125|AY628176|76-936|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|OXA-25|AF201826|22-849|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-43|AY065991|7-867|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
AGly|Aac6-Iv|AF031330|1-441|441|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|CMY-94|JX514368|272-1417|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
AGly|CR628337.1|gene1595|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH9,megares
CARD|pvgb|NC_002516.2|3556426-3559198|ARO:3003684|Pseudomonas|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
CARD|phgb|AB639410|0-1404|ARO:3003039|oprA|Multi-drug_resistance|Multi-drug_efflux_pumps|OPRA,Multi-drug resistance,Multi-drug efflux pumps,OPRA,megares
gi|388564847|gb|JQ733576.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|314912176|gb|HQ438058.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
Bla|TEM-52B_1_AF027199|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|pvgb|NC_008783|1406995-1409425|ARO:3003302|Bartonella|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|gyrB|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,megares
Bla|SHV-11_8_GQ387358|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|3021576|emb|AJ005044.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
1846|AF156486.1|AF156486|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
gi|397648609|gb|JX025021.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|CP007005|1250264-1251203|ARO:3003186|CARB-23|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
222|JQ394987.1|JQ394987|Multi-drug_resistance|Multi-drug_efflux_pumps|MDFA,Multi-drug resistance,Multi-drug efflux pumps,MDFA,megares
CARD|phgb|U82085|0-1659|ARO:3000118|vgaB|MLS|Streptogramin_A_efflux_pumps|VGAB,MLS,Streptogramin A efflux pumps,VGAB,megares
Rif|CP001138.1|gene4362|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Flq|QnrS|FJ418153|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS,megares
MLS|ermB_20_AF109075|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB,megares
Bla|CMY-76|JQ733573|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|FJ666067.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC,megares
1628|Y17716.1|Y17716|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|CEPH-A3|AY112998|197-961|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA,megares
Bla|OXA-332_1_KF203106|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXA-228|JQ422053|100-930|831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AY210887|111-972|ARO:3001104|SHV-46|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|OKP-B-13|AY825330|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|cfxA3_1_AF472622|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX,megares
gi|693586039|gb|KM114268.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|344179208|gb|JF460796.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
1282|JN982330.1|JN982330|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
AGly|AacA4|AF416297|2738-3304|567|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
CARD|phgb|KC895984|1081-1855|ARO:3002631|spd|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|SPD,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,SPD,megares
CARD|pvgb|U75641|19-1066|ARO:3000464|Neisseria|Multi-drug_resistance|MDR_mutant_porin_proteins|POR|RequiresSNPConfirmation,Multi-drug resistance,MDR mutant porin proteins,POR,megares
gi|157779406|gb|EU019536.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|374414421|gb|JN714480.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Tmt|DfrG|AB205645|1013-1510|498|Trimethoprim|Dihydrofolate_reductase|DFRG,Trimethoprim,Dihydrofolate reductase,DFRG,megares
CARD|phgb|AL123456|3626662-3627349|ARO:3000816|mtrA|Multi-drug_resistance|MDR_regulator|MTRA,Multi-drug resistance,MDR regulator,MTRA,megares
Bla|OXA-371_1_AB871653|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXY5-2|AJ871871|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
CARD|phgb|NC_002516.2|5584100-5585549|ARO:3003682|OpmH|Multi-drug_resistance|Multi-drug_efflux_pumps|OPMH,Multi-drug resistance,Multi-drug efflux pumps,OPMH,megares
Bla|OXA-278|KC771279|1-831|831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|TEM-16|X65254|176-1036|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|298113023|gb|HM113560.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|EF468463.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|817490718|gb|KP264123.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-15|AJ011428|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Sul|sul1_11_DQ914960|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Tmt|dfrA14_1_DQ388123|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Bla|OCH-8|DQ489307|1071-2243|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH,megares
Tmt|DfrA14|GU726917|72-545|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Bla|KF885217.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|698174161|gb|KM087835.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
Bla|SHV-109|EU418913|17-877|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
AGly|Aac3-IIc|X54723|819-1679|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,megares
CARD|phgb|HM440348|775-1861|ARO:3000549|adeS|Multi-drug_resistance|MDR_regulator|ADES,Multi-drug resistance,MDR regulator,ADES,megares
CARD|phgb|L06161|105-945|ARO:3002538|AAC3-IIIc|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,megares
Gly|VanTc3|AY033764|1644-3746|2103|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC,megares
gi|160948438|emb|AM176549.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Phe|D37826.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR,megares
Flq|QnrB22|FJ981621|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|blaZ_40_DQ269019|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ,megares
Elf|CP002332.1|gene1202|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
Rif|NC_012491.1.7717716|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|B-11|AY348326|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB,megares
Tet|tetW_5_AJ427421|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,megares
Flq|AL009126.3|gene7|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Flq|QnrVC3_1_HM015626|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC,megares
Rif|HM015626.1|gene1|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR,megares
Bla|TEM-182|HQ317449|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
948|DQ464881.1|DQ464881|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
AGly|AB104852.1|gene4|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
CARD|phgb|U35369|177-840|ARO:3002921|vanRB|Glycopeptides|VanB-type_regulator|VANRB,Glycopeptides,VanB-type regulator,VANRB,megares
Sul|sul2_10_AM183225|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
CARD|phgb|NC_003197|392418-393876|ARO:3000791|mdsC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDSC,Multi-drug resistance,Multi-drug efflux pumps,MDSC,megares
Flq|NC_007793.3913356|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
Bla|SHV-2_2_AF282921|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
